name,url
Samariterverein Aadorf,http://www.samariter-aadorf.ch
Samariterverein Aargau West,None
Samariterverein Aarberg,None
Samariterverein Aarwangen-Schwarzhaeusern,None
Samariterverein Abtwil-Engelburg,http://www.svae.ch
Sezione samaritana Acquarossa-Serravalle,None
Samariterverein Adelboden,None
Samariter Adligenswil-Udligenswil,None
Samariterverein Aedermannsdorf,None
Samariterverein Aesch,None
Samariterverein AeschPlus,None
Samariterverein Affoltern I. E.,None
Samariterverein Ägerital,http://www.samariterverein-aegerital.ch
Sezione samaritana Agno,None
Section de samaritains Aigle-Yvorne,None
Sezione samaritana Airolo,None
Samariterverein Albligen,None
Samariterverein Allschwil,None
Samariterverein Alpnach,http://www.samariteralpnach.ch
Sezione samaritani Alta Mesolcina,None
Samariterverein Altendorf,http://samariterverein-altendorf.ch
Samariterverein Alterswil,None
Samariterverein Altnau U. Umgebung,None
Samariterverein Altstätten,http://www.samariterverein-altstaetten.ch
Sezione samaritana Ambri-Piotta,http://www.samaritaniap.ch/
Samariterverein Amden,None
Samariterverein Amsoldingen und Umgebung,None
Samariterverein Andelfingen und Umgebung,http://www.samariter-wyland.ch
Samariterverein Ursern,None
Samariterverein Andwil-Arnegg,None
Samariterverein Anwil,None
Samariterverein Appenzell,http://www.samariter-appenzell.info
Sezione samaritana Arbedo,None
Samariterverein Arbon,http://www.samariter-arbon.ch
Samariterverein LORA,http://www.samariter-lora.ch
Samariterverein Arth-Goldau,http://www.samariter-arth-goldau.ch
Sezione samaritana Croce Verde Ascona,http://www.samaritaniascona.ch
Section de samaritains Attalens,None
Samariterverein Attinghausen,None
Samariterverein Attiswil,None
Samariterverein Au-Heerbrugg,http://www.samariter-au-heerbrugg.ch
Section de samaritains Coeur de la Côte,None
Samariterverein Ausserberg,None
Section de samaritains Avenches et Environs,None
Samariterverein Avers,None
Samariterverein Baar,http://www.samariterverein-baar.ch
Samariterverein Baden,http://www.samariter-baden.ch
Samariterverein Balgach,http://www.samariter-Balgach.ch
Samariterverein Ballwil,None
Samariterverein Balzers,None
Samariterverein Bäretswil,None
Samariterverein Kleinbasel,http://www.samariter-kleinbasel.ch.
Section de samaritains Bassecourt,None
Samariterverein Bassersdorf-Nürensdorf,None
Samariterverein Untere Emme,http://www.samariter-untere-emme.ch
Samariterverein Bauen,None
Samariterverein Bauma - Sternenberg,None
Samariterverein Bazenheid-Lütisburg,None
Samariterverein Beckenried,None
Sezione samaritana Gravesano-Bedano-Manno,None
Section de samaritains Belfaux,None
Sezione samaritana Bellinzona Croce Verde,None
Samariterverein Bellwald,None
Section de samaritains Belmont-Broye,http://www.samaritains-belmontbroye.ch
Samariterverein Benken,None
Samariterverein Berg,None
Samariterverein Berg u. Umgebung TG,None
Samariterverein Berikon und Umgebung,http://www.samariterverein-berikon.ch
Samariterverein Beringen,None
Samariterverein Bern-Lorraine-Breitenrain,http://www.svlorraine-breitenrain.ch
Samariterverein Bern-Mitte,http://www.samariterbern.ch
Samariterverein Berneck,http://www.samariterverein-berneck.ch
Samariter Beromünster,None
Samariterverein Betten-Bettmeralp,None
Samariterverein Bettwil,None
Sezione samaritana Biasca,None
Samariterverein Biberist,None
